	PSSM-Id	CD accession	CD short name	CD description	PSSM-Length
4	176950	CHL00005	rps16	ribosomal protein S16	82
22	214339	CHL00027	rps15	ribosomal protein S15	90
24	176970	CHL00029	rpl36	ribosomal protein L36	26
25	176971	CHL00030	rpl23	ribosomal protein L23	93
29	214342	CHL00034	rpl22	ribosomal protein L22	117
36	176982	CHL00041	rps11	ribosomal protein S11	116
37	214344	CHL00042	rps8	ribosomal protein S8	132
39	176985	CHL00044	rpl16	ribosomal protein L16	135
43	214348	CHL00048	rps3	ribosomal protein S3	214
45	176991	CHL00050	rps19	ribosomal protein S19	92
46	176992	CHL00051	rps12	ribosomal protein S12	123
47	176993	CHL00052	rpl2	ribosomal protein L2	273
48	176994	CHL00053	rps7	ribosomal protein S7	155
51	176997	CHL00057	rpl14	ribosomal protein L14	122
61	177007	CHL00067	rps2	ribosomal protein S2	230
62	214352	CHL00068	rpl20	ribosomal protein L20	115
67	214354	CHL00074	rps14	ribosomal protein S14	100
68	177014	CHL00075	rpl21	ribosomal protein L21	108
70	177016	CHL00077	rps18	ribosomal protein S18	86
71	214356	CHL00078	rpl5	ribosomal protein L5	181
72	214357	CHL00079	rps9	ribosomal protein S9	130
76	214358	CHL00083	rpl12	ribosomal protein L12	131
77	177023	CHL00084	rpl19	ribosomal protein L19	117
91	214366	CHL00102	rps20	ribosomal protein S20	93
92	214367	CHL00103	rpl35	ribosomal protein L35	65
93	177033	CHL00104	rpl33	ribosomal protein L33	66
97	177037	CHL00112	rpl28	ribosomal protein L28; Provisional	63
98	177038	CHL00113	rps4	ribosomal protein S4; Reviewed	201
100	177039	CHL00115	rpl34	ribosomal protein L34; Reviewed	46
105	214370	CHL00121	rpl27	ribosomal protein L27; Reviewed	86
107	177046	CHL00123	rps6	ribosomal protein S6; Validated	97
110	177049	CHL00127	rpl11	ribosomal protein L11; Validated	140
112	177051	CHL00129	rpl1	ribosomal protein L1; Reviewed	229
118	177057	CHL00135	rps10	ribosomal protein S10; Validated	101
119	177058	CHL00136	rpl31	ribosomal protein L31; Validated	68
120	177059	CHL00137	rps13	ribosomal protein S13; Validated	122
121	177060	CHL00138	rps5	ribosomal protein S5; Validated	143
122	214373	CHL00139	rpl18	ribosomal protein L18; Validated	109
123	177062	CHL00140	rpl6	ribosomal protein L6; Validated	178
124	214374	CHL00141	rpl24	ribosomal protein L24; Validated	83
125	177064	CHL00142	rps17	ribosomal protein S17; Validated	84
126	177065	CHL00143	rpl3	ribosomal protein L3; Validated	207
129	214375	CHL00147	rpl4	ribosomal protein L4; Validated	215
133	214377	CHL00152	rpl32	ribosomal protein L32; Validated	53
134	177071	CHL00154	rpl29	ribosomal protein L29; Validated	67
135	177072	CHL00159	rpl13	ribosomal protein L13; Validated	143
136	214378	CHL00160	rpl9	ribosomal protein L9; Provisional	153
139	214381	CHL00163	ycf65	putative ribosomal protein 3; Validated	99
224	223126	COG0048	RpsL	Ribosomal protein S12 [Translation, ribosomal structure and biogenesis]. 	129
225	223127	COG0049	RpsG	Ribosomal protein S7 [Translation, ribosomal structure and biogenesis]. 	148
227	223129	COG0051	RpsJ	Ribosomal protein S10 [Translation, ribosomal structure and biogenesis]. 	104
228	223130	COG0052	RpsB	Ribosomal protein S2 [Translation, ribosomal structure and biogenesis]. 	252
256	223158	COG0080	RplK	Ribosomal protein L11 [Translation, ribosomal structure and biogenesis]. 	141
257	223159	COG0081	RplA	Ribosomal protein L1 [Translation, ribosomal structure and biogenesis]. 	228
263	223165	COG0087	RplC	Ribosomal protein L3 [Translation, ribosomal structure and biogenesis]. 	218
